Web links;;;;
;;;;
;;;;
;;;;
;;;;
Platform;Name;Description;Keywords;URL
Android;Android Services – Tutorial;;process , threads , services ,  tutorial;http://www.vogella.com/tutorials/AndroidServices/article.html
Android;Annotation Processing in Android Studio;;annotation , Android Studio;https://medium.com/@aitorvs/annotation-processing-in-android-studio-7042ccb83024#.xkv7myxms
Android;Custom Android Builds: Tools and Techniques for Manual and Automated Tests;;"manual tests , automated tests , hardware tests , softwares tests ; AnTuTu , Z6Device , Sensor Box , Geekbench3 , ";https://stanfy.com/blog/testing-of-android-custom-firmware/
Android;Bound Services;;process , threads , Messenger , Ibinder , bound services , IPC;https://developer.android.com/guide/components/bound-services.html
Android;A journey on the Android Main Thread – PSVM;;process , threads , Looper , Handler , Message;https://medium.com/square-corner-blog/a-journey-on-the-android-main-thread-psvm-55b2238ace2b#.2x8jgq5w6
Android;Going multiprocess on Android;;process , threads , memory;https://medium.com/@rotxed/going-multiprocess-on-android-52975ed8863c#.p6llxosbf
Android;8 ways to do asynchronous processing in Android;;process , Threads , AsyncTasks , Jobs , Scheduler , Handlers;https://android.jlelse.eu/8-ways-to-do-asynchronous-processing-in-android-and-counting-f634dc6fae4e#.paypysdzk
Android; An Overview Of Android Application Sandbox Mechanism ;;sandbox;http://pierrchen.blogspot.fr/2016/09/an-walk-through-of-android-uidgid-based.html
/;Avoid bugs with Android's Lint;;Lint;https://blog.devdroids.com/avoid-bugs-with-androids-lint-87d8804ddf55#.lajt8ts2c
Android;Degooglisons / Degooglify;;privacy;https://degooglisons-internet.org/liste/
/;Diggin into Android System Services;;services;https://speakerdeck.com/devunwired/digging-into-android-system-services
Android;Object Oriented Programming vs. Functional Programming;;OOP , FP;http://www.codenewbie.org/blogs/object-oriented-programming-vs-functional-programming
Android;Learning Android Gestures;;gestures;https://stfalcon.com/en/blog/post/learning-android-gestures
Android;Create a Matrix Effect on Android;;Matrix , effect , animations;http://www.ssaurel.com/blog/create-a-matrix-effect-on-android/
Android;Ingredients for a foolproof CI for Android projects;;DevOps , CI , tools;https://blog.devdroids.com/ingredients-for-a-foolproof-ci-for-android-projects-9f34ec36fcc8#.w1cb7r71s
Android;Lint;Avoid bugs with Android’s Lint;DevOps , CI , tools , Lint , code , optimization;https://blog.devdroids.com/avoid-bugs-with-androids-lint-87d8804ddf55#.vqokh9ghn
/;About TDD and BDD;Test-Driven-Development and Behaviour-Driven-Development;TDD , BDD , tests;https://codeutopia.net/blog/2015/03/01/unit-testing-tdd-and-bdd/    http://joshldavis.com/2013/05/27/difference-between-tdd-and-bdd/
/;Immersion dans la tête d'un développeur;;article , dev;https://shirleyalmosni.wordpress.com/2016/10/08/immersion-dans-la-tete-dun-developpeur/
Android;Développeurs, apprendre est notre métier;;article , dev;https://medium.jechercheundev.fr/d%C3%A9veloppeurs-apprendre-est-notre-m%C3%A9tier-42b32a52807e#.27l3rp9ax
Android;Android leak pattern: subscriptions in views;;memory , leaks;https://medium.com/square-corner-blog/android-leak-pattern-subscriptions-in-views-18f0860aa74c#.cdbv38by2
Android;Designing the schema of Realm effectively, and other Realm tips;;Realm , database , data storage;https://medium.com/@Zhuinden/designing-the-schema-of-realm-effectively-and-other-realm-tips-feb76c5b6072#.v9vgwiha1
/;"
A la découverte de Direct Boot : une des fonctionnalités d'Android 7.0 (Nougat) !";;Direct Boot , boot;https://www.edouard-marquez.me/blog/android-direct-boot
/;A Crash Course in UX Design Research;;UX , design;https://uxdesign.cc/a-crash-course-in-ux-design-research-ea00c3307c82#.o968lt80z
/;How to run a team of people who never see each other;;team;http://qz.com/230998/how-to-run-a-team-of-people-who-never-see-each-other/
/;Designing settings;;design , settings , preferences , UI , UX;https://medium.com/@imran_parvez/designing-settings-b2a96878961b#.4kvkqwcml
/; How to perfect your UX with persona scenarios ;;UX , design;http://www.webdesignerdepot.com/2015/04/how-to-perfect-your-ux-with-persona-scenarios/
/;Dark Side of UI. Benefits of Dark Background;;;https://uxplanet.org/dark-side-of-ui-benefits-of-dark-background-12f560bf7165#.hr59bk8cj
/;Norse;;security , Internet , networks , attacks , lulz;http://www.norse-corp.com/
Android;We Are Data;;Watchdogs , networks , lulz;http://wearedata.watchdogs.com/
Android;Exploring the Android Design Support Library : Bottom Navigation View;;bottom navigation view;https://medium.com/@hitherejoe/exploring-the-android-design-support-library-bottom-navigation-drawer-548de699e8e0#.8fmgial7m     https://medium.com/@nullthemall/bottomnavigationview-missing-pearls-eaa950f9ad4e#.r4b416ehi
Android;Android Wear – Design + Code;;Android Wear , view , UI , UX;https://medium.com/@nelmerrosario/android-wear-design-code-2-eb2899d12342#.bslas92nv
Android;Proguard files : a cautinary tale;;Proguard , security;http://www.stkent.com/2016/10/07/proguardfiles-a-cautionary-tale.html
/;Gradle Helpers;;Gradle;https://github.com/brunodles/GradleHelpers
/;Tout ce qu'il faut savoir sur les SoC et processeurs mobiles;;SoC , CPU , GPU , chips , hardware;http://www.frandroid.com/dossiers/383586_tout-ce-quil-faut-savoir-sur-les-soc-et-processeurs-mobiles
/;The full stack developer is a myth;;fullstack , dev;https://medium.com/swlh/the-full-stack-developer-is-a-myth-4e3fb9c25867#.xce5piwl8
Android;Android N shortcuts;;UI , shortcuts , deep link;https://catinean.com/2016/10/20/exploring-android-nougat-7-1-app-shortcuts/
Android;Bye, Bye Burger !;About material design, bottom navigation and the old burger menu;UI , navigation , bottom , burger , material;https://medium.com/startup-grind/bye-bye-burger-5bd963806015#.nrzxqnbha
Design;Bash your way to better Android Development;;bash , shell , adb , android , dev;https://medium.com/@jonfhancock/bash-your-way-to-better-android-development-1169bc3e0424#.k8u0c2wfy
Design;Material.io;;material design;https://material.io/
Android;Material.io devices;;material design , devices , specs;https://material.io/devices/
Android;Annotations to support your contracts;;annotations , contracts;https://tips.seebrock3r.me/annotations-to-support-your-contracts-609ff259d5df#.hs1ynkyyo
Android;Better Control Flow Analysis with Contract Annotations;;annotations , contracts;https://blog.jetbrains.com/idea/2013/10/better-control-flow-analysis-with-contract-annotations-and-intellij-idea-13/
Android;Android MVP without RxJava or Dagger;;MVP , RxJava;https://blog.joaquimley.com/avenging-android-mvp-23461aebe9b5#.j8f437rcg
Android;RxJava: Android MVVM App structure with Retrofit;;MVVM , RxJava , Retrofit;https://medium.com/@manuelvicnt/rxjava-android-mvvm-app-structure-with-retrofit-a5605fa32c00#.b6ujozma8
Web;Do you like to ADB?;;ADB , Android Studio;http://crushingcode.co/do-you-like-to-adb/
Design;Pokedex.org;An open source and free  progress web app;progressive web app , pwa , html5 , css3;https://github.com/nolanlawson/pokedex.org
Java;Developing for Android vs iOS navigation patterns;;UI , Android , iOS , navigation , patterns;https://medium.com/@jrejaud/developing-for-android-vs-ios-navigation-patterns-c0e11286562c#.k5jfewsa8
Android;"
Developing Reactive applications with Reactive Streams and Java 8";;reactive , Java;https://speakerdeck.com/sdeleuze/developing-reactive-applications-with-reactive-streams-and-java-8
Design;"
DevOps sur Android : from one git push to a Play Store release";;DevOps , CI , tools;https://speakerdeck.com/jeremiemartinez/devops-sur-android-from-one-git-push-to-a-play-store-release
Web;Flexbox;;flexbox;https://speakerdeck.com/goetter/flexbox-place-a-la-gueule-de-bois
/;A journey from Interactive to Reactive;;reactive;http://blog.thomasbelin.fr/talks/reactive-programming/#1
Design;Tree-Shaking;;quality;http://blog.vincentogloblinsky.com/devfest-2016-tree-shaking-slides/#/
/;Google Design Sprint;;design , conception , sprint;http://www.slideshare.net/Matt_Gio/design-sprint-devfest-nantes-2016
Design;"Continuous Deployment with Spinnaker
";;continuous deeployment , Spinnaker , DevOps , quality;https://docs.google.com/presentation/d/1x4Z61vRWkWEbYLsWjcHIylHLHRlajLmPTdMCJi_Tyhg/edit#slide=id.g17d09711c0_2_80
Android;Angular 2 et les standards du Web;;Angular 2 , standards;https://speakerdeck.com/gillespie59/angular2-et-les-standards-du-web
Web;La boîte à outils du développeur Android en 2016;;yools , libs , dev;http://fr.slideshare.net/Nilhcem/the-2016-android-developer-toolbox-nantes
Android; De la réalité virtuelle dans nos navigateurs, en route vers le Metaverse;;WebVR , VR;https://speakerdeck.com/olivierguillet/devfest-nantes-2016-de-la-realite-virtuelle-dans-nos-navigateurs-en-route-vers-le-metaverse
Web;Finally understanding how references work in Android and Java;;Android , Java , references , performances;https://medium.com/google-developer-experts/finally-understanding-how-references-work-in-android-and-java-26a0d9c92f83#.fsjokaizd
Web;Progressive Web Apps;;pwa;https://developers.google.com/web/progressive-web-apps/
Web;Que sont les Progressive Web Apps ?;;pwa;https://frank.taillandier.me/2016/06/28/que-sont-les-progressive-web-apps/
Web;A selection of PWA;;pwa;https://pwa.rocks/
Web;A Beginner’s Guide To Progressive Web Apps;;pwa;https://www.smashingmagazine.com/2016/08/a-beginners-guide-to-progressive-web-apps/
Design;What are Progressive Web Apps?;;Ionic , pwa;http://blog.ionic.io/what-is-a-progressive-web-app/
Design;Vector Open Stock;Free vector graphics;UI , vector , graphics;https://www.vectoropenstock.com/
Web;Icons As Part Of A Great User Experience;;UI , icons;https://www.smashingmagazine.com/2016/10/icons-as-part-of-a-great-user-experience/
Design;Carousels Don’t Have to be Complicated;;UI , views , carousels;http://mediatemple.net/blog/tips/carousels-dont-have-to-be-complicated/
Design;The Ideal Design Workflow;;UI , UX , design;https://blog.prototypr.io/the-ideal-design-workflow-2c200b8e337d#.5pp60aud1
Design;16 Prototyping Tools & How Each Can Be Used;;UI , design , prototypes;https://blog.prototypr.io/14-prototyping-tools-how-each-can-be-used-1c804fab33a6#.rz7uv89tp
/;Designing for Colour Blindness;;UI , UX , design;https://blog.prototypr.io/designing-for-colour-blindness-b74a9d012ef2#.9av9iflbr
Web;A journey from Interactive to Reactive;;reactive;http://blog.thomasbelin.fr/talks/reactive-programming/#1
Design;Optimizer votre webapp;;web , optimisation , performances;https://speakerdeck.com/javamind/optimisez-votre-webapp
/;Accessibilité, par où commencer ?;;accessibility , UI , UX;http://devfest2016-accessibilite.juliemoynat.fr/#/
Java;Haskell for the noobs;;Haskell;https://ptitfred.github.io/haskell-for-the-noobs/
/;Finally understanding how references work in Android and Java;;References , pointers , Java , Android;https://medium.com/google-developer-experts/finally-understanding-how-references-work-in-android-and-java-26a0d9c92f83#.w13p1mwi4
Android;RxJava 2: Android MVVM Lifecycle App Structure with Retrofit 2;;RxJava 2 , MVVM , Retrofit 2;https://medium.com/@manuelvicnt/rxjava2-android-mvvm-lifecycle-app-structure-with-retrofit-2-cf903849f49e#.nuubl2vlg
Design;Floating button for disabled people;Your User Can’t Click Your Floating Action Button And you can fix it in one line ;floating action button , UI , UX;http://collectiveidea.com/blog/archives/2016/10/10/your-user-cant-click-your-floating-action-button
/;NVIDIA;;hardware , GPU , graphics cards;http://www.nvidia.fr/page/home.html
/;Notebookcheck.net;Computer Games on Laptop Graphic Cards;hardware , GPU , graphics cards;http://www.notebookcheck.net/Computer-Games-on-Laptop-Graphics-Cards.13849.0.html
Design;Bien comprendre la différence entre définition et résolution d’un écran ;;design , px , ppp , ppi , screen;http://www.frandroid.com/comment-faire/comment-fonctionne-la-technologie/342762_difference-entre-definition-resolution
Design;DPI / PPI Calculator;;design , px , ppp , ppi , dpi , screen;https://www.sven.de/dpi/
Design;How to create Snapchat-like stickers for Android;;Android , Snapchat , stickers , UI;https://medium.com/uptech-team/how-to-create-snapchat-like-stickers-for-android-50512957c351#.xro7aupgm
Android;Making the most of the APK analyzer;;APK , DEX , analyzer;https://medium.com/google-developers/making-the-most-of-the-apk-analyzer-c066cb871ea2#.kqu2byr5b
Android;Organize your analytics code;;analytics;https://medium.com/@Actine/organize-your-analytics-code-be9e5ff91543
Android;Machine Learning & Mobile Vision API : Face Detection;;Movile Vision , Face Detection;https://hackernoon.com/machine-learning-for-android-developers-with-the-mobile-vision-api-part-1-face-detection-e7e24a3e472f#.g0s0m9r6b
Android;Machine Learning & Mobile Vision API : Barcode Detection;;Mobile Vision , Barcode Detection;https://hackernoon.com/machine-learning-for-android-developers-with-the-mobile-vision-api-part-2-barcode-detection-61e84c858518#.uwfsz1e2h
Android;Machine Learning & Mobile Vision API : Text Detection;;Mobile Vision , Text Detection;https://hackernoon.com/machine-learning-for-android-developers-with-the-mobile-vision-api-part-3-text-detection-20ba34d0d356#.x7ylgggwo
Android;Android Application Architecture;Our journey from standard Activities and AsyncTasks to a modern MVP-based architecture powered by RxJava.;MVP , RXJava , architecture;https://labs.ribot.co.uk/android-application-architecture-8b6e34acda65#.3oq2l4buk
Android;Android Clean Architecture;A detailed guide on developing Android apps using the Clean Architecture pattern;Clean Architecture;https://medium.com/@dmilicic/a-detailed-guide-on-developing-android-apps-using-the-clean-architecture-pattern-d38d71e94029#.yt4r13fzi
/;SoC Specout;;devices , specs , hardware , comparison , SoC;http://system-on-a-chip.specout.com
Android;Making PNG optimization part of your app's diet;;PNG , app , diet;https://medium.com/picnic-engineering/making-png-optimization-part-of-your-apps-diet-47fb04e8a0c#.xo5y2tuw6
Android;Effective Java for Android;;Java , Android , guidlines , best practices;https://medium.com/rocknnull/effective-java-for-android-cheatsheet-bf4e3433889a#.io6c1i6se
Android;How I Organize Android project structure;;project , structure , good practices;https://medium.com/@rey5137/how-i-organize-android-project-structure-5ed9b849dc30#.6u9tm6azp
Web;Instant Loading Web Apps with an Application Shell Architecture;;App shell , architecture , pwa;https://developers.google.com/web/updates/2015/11/app-shell
Web; Your First Progressive Web App ;;codelab , pwa;https://developers.google.com/web/fundamentals/getting-started/codelabs/your-first-pwapp/
Android;Your presenters don't need all those lifecycle events;;MVP , presenter;https://medium.com/@anupcowkur/your-presenters-dont-need-all-those-lifecycle-events-721f500eeef4#.66anrlwf7
Android;Product Flavors for Android Library;;Gradle , product flavors;https://medium.com/@sahildave/product-flavors-for-android-library-d3b2d240fca2#.5sbf9e26q
Android;MovieGuide;;MVP , RxJava , Dagger 2 , Clean Architecture , sample;https://github.com/esoxjem/MovieGuide
Android;Custom Transitions in Android;;UI , transitions;https://medium.com/@belokon.roman/custom-transitions-in-android-f8949870bd63#.oreiy0hi3
Design;Icon handbook;;UI , icons , Android , pixels , sizes , dpi;http://iconhandbook.co.uk/reference/chart/android/
Design;Designing for Seamlessness;;Android , design , seamlessess;https://developer.android.com/guide/practices/seamlessness.html
/;Why Native Apps Really are Doomed;;medium;https://medium.com/javascript-scene/why-native-apps-really-are-doomed-native-apps-are-doomed-pt-2-e035b43170e9#.mxxj0w6n3
/;Why Native Apps Really aren't doomed;;medium;https://www.novoda.com/blog/native-apps-are-not-dead/
Android;Create Chat Heads Like Facebook Messenger;;UI , view , chat heats , Facebook Messenger , medium;https://medium.com/@kevalpatel2106/create-chat-heads-like-facebook-messenger-32f7f1a62064#.iqhl07557
Design;Material UI;;UI , material , design , UX;http://www.material-ui.com
/;Android version distribution history visualization: 2012-2016;;Android , versions , Apple Pie , Banana Bread , Cupcake , Donut , Eclair, Froyo , Gingerbread , Honeycomb , Ice Cream Sandwich , Jelly Bean , Kit Kat , Lollipop , Marshmallow , Nougat;http://blog.davidecoppola.com/2016/12/android-version-distribution-history-visualization-2012-2016/
Android;Reduce the size of your APK bullet point;;APK , size , proguard , Redex , code , dex;https://medium.com/@jacquesgiraudel/reduce-the-size-of-your-apk-bullet-point-419997e28344#.442e8b62i
Web;HTML5 Test; how well does your browser support HTML5?;HTML5 , test , browser;https://html5test.com/
Design;Add Colors To Your Palette With Color Mixing;;UI , UX , colors;https://www.viget.com/articles/add-colors-to-your-palette-with-color-mixing
Design;From Darkness to Light: Color Versatility Using Tints, Tones, and Shades;;UI , UX , colors , dark , light;https://www.viget.com/articles/tints-tones-shades
Design;Color Contrast for Better Readability;;UI , UX , colors , contrast , readbility;https://www.viget.com/articles/color-contrast
Design;Shades of Gray — Yes, Really;;UI , UX , colors , shades of gray;https://www.viget.com/articles/shades-of-gray-yes-really
Android;Draw a custom view;;UI , view , custom view;https://medium.com/@romandanylyk96/android-draw-a-custom-view-ef79fe2ff54b#.qsksyd5ef
Android;How To Make Your Android Application Secured;;Android , app , security , HTTPS , OkHttp , Retrofit , Intents , Cipher , preferences , root;https://medium.com/uptech-team/how-to-make-your-android-application-secured-21c054b371e7
/;AsteroidOS;;wearables , AsteroidOS , OS;https://asteroidos.org/
/;Lineage Android Distribution;;Lineageos , OS , CyanogenMod;https://github.com/LineageOS
Android;Android Wear;;Android Wear , wearables , OS;https://www.android.com/intl/fr_fr/wear/
Android;CyanogenMod;;Cyanogen , OS;https://www.cyanogenmod.org/
Android;Keep your device screen in smartly;;UI , UX , screen on , vision;https://medium.com/@kevalpatel2106/keep-your-device-screen-on-smartly-7081b692c09e
Android;On properly using volatile and synchronized;;Java , synchronized , volatile , threads;https://medium.com/google-developer-experts/on-properly-using-volatile-and-synchronized-702fc05faac2#.9s817tkqy
Android;Offline App Architecture;;app deisgn , pattern , architecture , offline;https://hackernoon.com/so-you-want-to-develop-for-the-next-billion-9eb072c26bc8
Android;No more value classes boilerplate — The power of AutoValue.;;Autovalue , binding , default values;https://medium.com/rocknnull/no-more-value-classes-boilerplate-the-power-of-autovalue-bbaf36cf8bbe#.paufrp7di
Android;Writing custom lint rules and integrating them with Android Studio inspections;;Lint , rules , Android Studio;https://medium.com/@mosesJay/writing-custom-lint-rules-and-integrating-them-with-android-studio-inspections-or-carefulnow-c54d72f00d30#.muy6xnpyc
Android;Android Things;;Android , IoT , Things;https://developer.android.com/things/index.html
Android;Weave;;Android , IoT , Weave;https://developers.google.com/weave/
Design;You’re a strong, beautiful user and you deserve more;;IFTTT , conception , design;https://medium.com/tradecraft-traction/youre-a-strong-beautiful-user-and-you-deserve-more-60a27c8cc81d#.rwy1a0vjw
Design;Use peak-end rule to improve customer experience;;UX , conception , design;https://medium.com/@daverothschild/use-this-simple-psychology-rule-to-improve-your-customer-experience-41aa4f3f2124#.wj6q9p84d
Design;Getting started with UI motion design;;UI , UX , design , motion , conception;https://medium.com/this-also/getting-started-with-ui-motion-design-d82d4a625801#.xf2vm2g0t
Design;The Current State of Adaptive Design;;adaptive design;https://medium.com/swlh/the-current-state-of-adaptive-design-6b2b89b258c4#.e0jh8vnmk
Design;Designing for Hands in VR;;VR , design , hands;https://medium.com/facebook-design/designing-for-hands-in-vr-61e6815add99#.9r0uoqs02
/;Perfectionism Ruined my Productivity;;perfectionism , productivity;http://www.vanschneider.com/perfectionism-is-killing-your-creativity/
JavaScript;Comparison Shopping: Searching for Javascript Engines for Android;;JavaScript , JS engines , Android , comparison;https://medium.com/tech-quizlet/comparison-shopping-searching-for-javascript-engines-for-android-bdc656538f2e#.v79hzqehs
Android;LintInspections.json;;Lint , inspections;https://gist.github.com/Kurry/3aafa89dd4d87099ef7e
Android;About clean architecture pattern;A detailed guide on developing Android apps using the Clean Architecture pattern;Clean , architecture;https://medium.com/@dmilicic/a-detailed-guide-on-developing-android-apps-using-the-clean-architecture-pattern-d38d71e94029#.5qip6rtjt
Android;Stress-testing Android apps;;tests , stress;https://android.jlelse.eu/stress-testing-android-apps-601311ebf590#.i4xsef3uo
Web;Netmarketshare;Market Share Statistics for Internet Technologies;stats , reports , web browsers;http://www.netmarketshare.com/
/;AAWP;All About Windows Phone;Windows Phone;http://allaboutwindowsphone.com/
/;Google Interview University;;tips , knowledges , dev;https://github.com/jwasham/google-interview-university
/;Five Reasons Your Boss Was Right To Shut Down Your Innovation Lab;;innovation , lav , R&D , creativity , failures;http://www.forbes.com/sites/tendayiviki/2016/09/04/five-reasons-your-boss-was-right-to-close-your-innovation-lab/#341a53c94f5b
Web;How HTTP/2 Is Changing Web Performance Best Practices;;HTTP , HTTP2 , web , performances;https://blog.newrelic.com/2016/02/09/http2-best-practices-web-performance/
Android;How we Misuse Mocks for Android Tests;;mocks , tests;http://www.philosophicalhacker.com/post/how-we-misuse-mocks-for-android-tests/
/;Have fun with machine learning ; An absolute beginner's guide to Machine Learning and Image Classification with Neural Networks;machine learning , neural network;https://github.com/humphd/have-fun-with-machine-learning
Android;MVP RxAndroid Sample; A sample to showcase MVP pattern with RX-Android, Retrofit 2.0 ;Android , Retrofit , MVP , Rx , showcase , tuto;https://github.com/ahmedeltaher/MVP-RX-Android-Sample?utm_source=android-arsenal.com&utm_medium=referral&utm_campaign=4975
Android;Understanding the Android bytecode;;Dalvik , JVM , bytecode , DEX , Smali;http://mariokmk.github.io/programming/2015/03/06/learning-android-bytecode.html
Android;android cracking;Tools and techniques for android reversing. Eeducational purposes only!;Android , hack;http://androidcracking.blogspot.fr/
Android;Dalvik opcodes;;Dalvik , bytecode , opcodes;http://pallergabor.uw.hu/androidblog/dalvik_opcodes.html
Android;Understanding the Dalvik bytecode with the Dedexer tool;;Dalvik , bytecode , Dedexer;http://www.slideshare.net/paller/understanding-the-dalvik-bytecode-with-the-dedexer-tool
Java;Jasmin;;Java , assembler , JVM;http://jasmin.sourceforge.net/
Android;Dalvik bytecode;;Dalvik , Java , bytecode;https://source.android.com/devices/tech/dalvik/dalvik-bytecode.html
Android;Reverse Engineering Android: Disassembling Hello World;;tuto , dex ,  RI , hack;https://apkudo.com/?p=775
Android;How to Decompile and Recompile a Jar;;tuto , dex ,  RI , hack , jar , Android;http://adrynalyne-teachtofish.blogspot.fr/2011/11/how-to-decompile-and-recompile-jar.html
Android;How to decompile Android APK files and look into source code;;tuto , dex ,  RI , hack , jar , Android;http://e-spartans.com/2016/02/19/decompile-apk-files/
Android;Android Compatibility Definition Document;;Android , requirements , constructors;https://source.android.com/compatibility/cdd.html
Android;Get started with Android Things today!;;Android Things , Android , Raspberry , RaspberryPi , tuto;https://www.androidthings.rocks/2017/01/03/get-started-with-android-things-today/
Android;AppFollow — helps to be aware of app activities in Google Play;;Google Play , App Store , monitor , review , store , tracking;https://android.jlelse.eu/appfollow-helps-to-be-aware-of-app-activities-in-google-play-494fcbea02ae#.lmg64kl89
Design;How To Communicate Hidden Gestures in Mobile App;;UI , UX , gestures;https://uxplanet.org/how-to-communicate-hidden-gestures-in-mobile-app-e55397f4006b#.8ch39kggr
Android;Modern Android – How to ditch Activities & Fragments;;UI , Activity , Fragment , single activity , one page;https://realm.io/news/sf-fabien-davos-modern-android-ditching-activities-fragments/
Android;Android Things Basics: Obstacle avoidance sensor with LED feedback;;Android Things , Android , Raspberry , RaspberryPi , tuto;https://hackernoon.com/android-things-basics-obstacle-avoidance-sensor-with-led-feedback-9127e13f2e76#.br6b3dz9e
Android;A useful memory debugger plugin for Android Studio;;Android Studio , plugin , memory , debugger;https://hackernoon.com/a-useful-memory-debugger-plugin-for-android-studio-2d9d95bddc24#.ig2d0btgm
Android;How we Misuse Mocks for Android Tests;;Android , mocks;https://www.philosophicalhacker.com/post/how-we-misuse-mocks-for-android-tests/
Android;Why I Don't use Robolectric;Poublication about the defects Robolectric can have and what we have to be aware of;Android , mocks , Robolectric , cons;https://www.philosophicalhacker.com/post/why-i-dont-use-roboletric/
/;Commits.io;Create a poster entirely from your code;posters , fun;https://commits.io/
/;Clean tests, Part 1: Naming;;tests , unit tests;https://android.jlelse.eu/clean-tests-part-1-naming-cce94edf0522#.2j754f7yb
/;Clean tests, Part 2: Comments;;tests , unit tests;https://android.jlelse.eu/clean-tests-part-2-comments-4016ee82f186#.urrtax8em
/;15 tips to improve your unit tests;;tests , unit tests;http://www.slideshare.net/dpreussler/15-tips-to-improve-your-unit-tests-droidcon-berlin-2016-barcamp
/;Dead Zebra;;Android , goodies , geek;http://shop.deadzebra.com/
/;Firmata;;IoT , Arduino , microcontroler;http://www.firmata.org/wiki/Main_Page
Design;Let the Action Buttons in the Dialog Box Scream its Outcome;;UI , UX , Dialogs;https://hackernoon.com/let-the-action-buttons-in-the-dialog-box-scream-its-outcome-b319c5efc698#.6bo71l8w9
/;15 Mobile KPIs Every Developer Needs to Measure…Right Now;;KPI , Key Performance Indicator , app ;https://android.jlelse.eu/15-mobile-kpis-every-developer-needs-to-measure-right-now-b1cf1cc8b707#.sq2pfnarl
/;Top KPIs to measure in your eCommerce app;;KPI , Key Performance Indicator , app ;https://android.jlelse.eu/top-kpis-to-measure-in-your-ecommerce-app-64daf88bc1ed#.ya2vd59pv
/;Migration From SQLite to Realm;;Realm , SQLite , storage , cache , database;https://android.jlelse.eu/migration-from-sqlite-to-realm-a91bc6d2e568
Android;Quick Tip : How to Use Android's Assis API;;Assist API , Assistant , voice interaction;https://code.tutsplus.com/tutorials/quick-tip-how-to-use-androids-assist-api--cms-27933
Design;Design for internationalization;;i18n , UI , UX;https://medium.com/dropbox-design/design-for-internationalization-24c12ea6b38f#.j7hx6z6us
Design;IBM Globalization – UI expansion;;i18n , UI , UX;http://www-01.ibm.com/software/globalization/guidelines/a3.html
Android;Resolving Conflicts in android gradle dependencies;;Gradle , conflicts;https://blog.mindorks.com/avoiding-conflicts-in-android-gradle-dependencies-28e4200ca235#.x38g4zxvg
Design;Case Study. Master/Detail Pattern Revisited;;UI , UX , master detail pattern;http://goneremote.io/master-detail-pattern/
/;VM vs Conteneur : le match;;VM , conteneur , container;http://www.techpageone.fr/technologie-fr/vm-vs-conteneur-le-match/
Android;Designing the schema of Realm effectively, and other Realm tips;;Realm , database , storage , best practices;https://hackernoon.com/designing-the-schema-of-realm-effectively-and-other-realm-tips-feb76c5b6072#.t84wzinxl
Android;RealmList<RealmString> is an anti-pattern!;;Realm , database , storage , best practices;https://hackernoon.com/realmlist-realmstring-is-an-anti-pattern-bfc10efb7ca5#.ahcjdda0c
Java;Java is Unsound: The Industry Perspective;;Java , types , sound & unsound , failures;https://hackernoon.com/java-is-unsound-28c84cb2b3f#.icxc30p9q
Android;10 Signs of Technical Debt in your Android app;;technical debts , best practices , code smell;https://android.jlelse.eu/10-signs-of-technical-debt-in-your-android-app-602d9d27bd71#.v16phowai
/;Free resources to build your next Open Source project;;project , tools , open source;https://hackernoon.com/free-resources-to-build-your-next-open-source-project-36d096c536b5
Bots;Mirai;Leaked Mirai Source Code for Research/IoC Development Purposes;study , Mirai , research;https://github.com/jgamblin/Mirai-Source-Code
/;S.O.L.I.D. principles;;dev , pattern , quality , principles , best practices , SOLID;https://android.jlelse.eu/solid-principles-the-definitive-guide-75e30a284dea#.r7tyo4qk9
/;Few simple rules for good coding(my 15 years experience);;dev , pattern , quality , principles , best practices , SOLID;https://android.jlelse.eu/few-simple-rules-to-write-good-code-my-15-years-experience-78a133557ec5#.x2q6jo2kf
Android;Configure Build Variants with Flavors;;Gradle , build variants , flavor;https://android.jlelse.eu/flavors-386c4a53bf18
Web;Angular vs React — the DEAL BREAKER;;Angular , React , Vue.js;https://hackernoon.com/angular-vs-react-the-deal-breaker-7d76c04496bc#.toybrih9g
Android;Bash your way to better Android Development;;Android , dev , adb , bash , shell , terminal;https://jonfhancock.com/bash-your-way-to-better-android-development-1169bc3e0424#.4gefachi0
Android;Writing your first Android Things driver;;Android Things , driver;https://www.novoda.com/blog/writing-your-first-android-things-driver-p1/
Design;Using @android:color/transparent in gradients;;Android , gradient , colors;https://android.jlelse.eu/android-dev-tip-3-99da754151ad
Design;FontShop;;fonts;https://www.fontshop.com/search
Design;Kilm Type Foundry;;fonts;https://klim.co.nz
Android;Understanding Android Gradle build files;;Gradle;https://medium.com/@wasyl/understanding-android-gradle-build-files-e4b45b73cc4c
Android;3 Tips for Building Popular Android Instant Apps;;tips , instant apps;http://www.ironsrc.com/news/tips-build-android-instant-apps/
Android;Passwordless Authentication With Account Kit ;;authentication , security , Account Kit , password , passwordless;https://code.tutsplus.com/tutorials/quick-tip-passwordless-authentication-with-account-kit--cms-28033
Android;Replicant;Replicant is a fully free Android distribution running on several devices;Android, OS , Replicant;http://www.replicant.us/
/;MiniFree;Ministry Of Freedom;freedom , privacy , hacks;https://minifree.org/
/;GitLab vs GitHub. Key differences & similarities;;GitLab , Github;http://usersnap.com/blog/gitlab-github/
